name,fide,country,followers,joined,last_online,current_rapid_rating,highest_rapid_rating,highest_rapid_date,rapid_win,rapid_draw,rapid_loss,current_blitz_rating,highest_blitz_rating,highest_blitz_date,blitz_win,blitz_draw,blitz_loss,current_bullet_rating,highest_bullet_rating,highest_bullet_date,bullet_win,bullet_draw,bullet_loss,highest_tactics_rating,highest_tactics_date,highest_puzzle_rush_score,is_streamer,status,league
Alexey Dreev,0,Russia,100,2016,2023,2644,2685,2020,52,59,62,2867,2950,2022,171,33,65,2629,2809,2022,47,2,38,1697,2023,45,FALSE,premium,Silver
Hans Tikkanen,0,Sweden,9,2012,2023,1517,1517,2022,2,0,0,2483,2525,2020,133,19,59,1904,1754,2019,6,0,0,3506,2023,64,FALSE,premium,Stone
Ruiyuan Yu,0,China,24,2012,2023,2300,2526,2021,111,65,108,1863,1870,2022,16,0,4,2570,2648,2022,141,4,66,3263,2021,42,FALSE,premium,Silver
David Paravyan,0,Russia,543,2019,2023,2627,2975,2022,143,120,91,3039,3132,2022,6102,2088,3579,3075,3201,2023,374,88,224,2252,2022,59,FALSE,premium,Champion
Abhijeetonyoutube,0,India,49,2020,2023,2759,2759,2021,1,0,0,2913,2934,2023,87,9,33,2759,2780,2020,34,2,12,2847,2023,62,FALSE,premium,Wood
Bazarov04,0,Russia,14,2020,2023,2217,2432,2020,1,0,1,2713,2772,2020,1231,224,1170,2632,2781,2020,72,4,68,2213,2020,41,FALSE,premium,Champion
Stany Ga,0,India,156,2018,2023,2365,2623,2020,25,2,12,2605,2793,2020,343,55,192,2135,2550,2020,293,21,193,2890,2023,49,FALSE,premium,Stone
Varuzhan Akobian,0,United States,438,2017,2023,2522,2662,2018,1,1,4,2701,2873,2021,409,100,288,2743,2631,2017,18,0,5,2514,2021,43,FALSE,premium,Silver
Rdeux42,0,France,20,2020,2023,2440,2532,2021,4,2,2,2448,2562,2021,200,39,157,2445,2511,2023,53,2,41,2500,2021,43,FALSE,premium,Crystal
Reinaldo Vera,0,Cuba,32,2020,2023,2300,2300,2022,2,0,0,2227,2332,2021,171,11,146,1725,1667,2020,1,0,2,1578,2020,22,FALSE,premium,Wood
Conquering,0,India,54,2014,2023,2400,1412,2019,1,0,0,2814,2887,2020,2100,766,2323,2675,2764,2019,579,149,677,3642,2023,56,FALSE,premium,Champion
Valentin Dragnev,0,Austria,30,2020,2023,2522,2772,2023,2,4,3,2812,2903,2021,758,192,640,2803,2869,2023,109,12,93,3832,2022,53,FALSE,premium,Crystal
Jacob Aagaard,0,Scotland,29,2018,2023,2067,2122,2021,9,3,4,2404,2468,2023,29,3,16,2404,2584,2023,14,2,4,3405,2023,42,FALSE,premium,Silver
Paulius PultineviÄius,0,Lithuania,133,2021,2023,2081,2081,2023,31,1,1,2772,3014,2023,1987,334,1562,3000,3059,2023,2376,235,1754,4097,2023,66,FALSE,premium,Legend
Lucian-Costin Miron,0,Romania,51,2016,2023,2360,2460,2020,10,9,7,2630,2723,2022,712,84,396,2469,2495,2021,142,9,79,2668,2021,39,FALSE,premium,Crystal
Manolache Marius,0,Romania,274,2014,2023,1768,2281,2023,31,14,8,2736,2792,2023,5547,1098,5321,2054,2173,2023,9,0,4,3860,2023,63,FALSE,premium,Legend
Heliopsis,0,Poland,293,2020,2023,1369,2500,2020,7,1,7,2597,2800,2021,307,66,234,2447,2675,2021,6,0,3,2814,2021,43,FALSE,premium,Bronze
Jacek Tomczak,0,Poland,56,2019,2023,2626,2626,2022,1,0,1,2863,2918,2022,581,148,290,2506,2506,2023,7,0,0,2751,2023,41,FALSE,premium,Silver
Etienne Bacrot,0,France,1047,2016,2023,2467,2807,2020,20,12,28,2845,2955,2023,962,135,468,2761,2846,2022,631,69,510,3239,2021,59,FALSE,premium,Elite
Osvaldo Zambrana,0,Bolivia,31,2020,2023,2364,2649,2020,10,9,10,2447,2538,2020,39,4,27,2463,2744,2020,2,0,5,2942,2022,21,FALSE,premium,Stone
Evgeny Tomashevsky,0,Russia,368,2016,2023,2542,2832,2020,17,18,17,2988,2988,2023,672,249,382,2440,2290,2018,2,0,0,2003,2021,70,TRUE,premium,Stone
Evgeny Alekseev,0,Russia,36,2019,2023,2634,2732,2023,7,3,4,2883,2938,2021,2284,406,1541,2198,2573,2019,1,0,3,2810,2023,64,FALSE,premium,Stone
Enrico Sevillano,0,United States,80,2012,2023,2125,2502,2018,86,12,23,2519,2763,2012,284,41,136,2530,2530,2020,890,35,701,3206,2020,26,FALSE,premium,Bronze
Andrei Belozerov,0,Russia,347,2019,2023,2192,2673,2020,198,5,26,2636,2711,2023,950,116,363,2204,2528,2021,271,14,52,3687,2023,66,FALSE,premium,Legend
Azer Mirzoev,0,Azerbaijan,117,2018,2023,2429,2562,2021,26,3,6,2691,2770,2021,1500,287,743,2449,2492,2020,451,38,312,3074,2022,29,FALSE,premium,Bronze
Masoud Mosadeghpour,0,Iran,110,2017,2023,2226,2500,2020,18,4,6,2974,2997,2023,153,16,58,2610,2687,2022,90,10,33,3506,2023,74,FALSE,premium,Stone
Boris Grachev,0,Russia,111,2016,2023,2578,2601,2020,9,4,3,2959,3003,2019,1146,254,513,2981,3013,2019,753,109,378,3100,2021,61,FALSE,premium,Wood
Jules Moussard,0,France,648,2016,2023,2715,2750,2023,51,20,22,2988,3065,2023,1761,313,1194,3006,3173,2023,2989,244,1206,3526,2022,64,FALSE,premium,Elite
Helgi Olafsson,0,Iceland,86,2017,2023,2352,2512,2018,2,1,1,2703,2764,2022,2683,479,2268,1791,2066,2021,15,0,22,2973,2017,57,FALSE,premium,Legend
Viktor Erdos,0,Hungary,34,2019,2023,2589,2729,2023,21,20,16,2945,3013,2023,183,34,77,2864,2714,2020,70,3,38,3001,2020,47,FALSE,premium,Bronze
